이름,위치,지역,별점,간단한설명,링크
제주순메밀막국수,제주특별자치도 서귀포시 안덕면 녹차분재로 60,안덕면,4.52,막국수,https://naver.me/5CzplvGr
한라산아래첫마을영농조합법인,제주 서귀포시 안덕면 산록남로 675,안덕면,4.54,한식,https://naver.me/GKovo6tX
춘미향,제주 서귀포시 안덕면 산방로 378,안덕면,4.47,한식,https://naver.me/xE1qM8Dv
해심가든,제주 서귀포시 천제연로 203-4 해심가든,중문,별점없음,고기,https://naver.me/GsTByQRh
숙성도 중문점,제주 서귀포시 일주서로 966,중문,4.44,고기,https://naver.me/GkKJKnWn
산방식당, 제주 서귀포시 대정읍 하모이삼로 62, 서귀포시, 4.3, 한식, https://naver.me/xgaN0yCm
제갈양 제주협재점,제주 제주시 한림읍 한림로 155,제주시,4.56,갈치조림 전문,https://naver.me/xGOinC89
강식당,제주 제주시 한림읍 협재1길 30,제주시,별점없음,함박스테이크 정식,https://naver.me/xjeLLGJE
솥뚜껑흑돼지, 제주 서귀포시 516로 574-23, 서귀포시, 별점없음, 돼지구이, https://naver.me/5y0OPKzf
고국수, 제주 제주시 용문로14길 4 1층, 제주시, 별점없음, 국수, https://naver.me/xpaarezA
제주운정이네, 제주 서귀포시 중산간서로 726, 서귀포시, 4.43, 갈치조림, https://naver.me/FHYucWWX
서서방숯불닭갈비, 제주 제주시 신광로 61 1층, 제주시, 4.6,닭갈비, https://naver.me/FjojHIwx
해녀의집, 제주 서귀포시 성산읍 시흥하동로 114, 성산읍, 4.36, 죽, https://naver.me/5gidybFJ
형제도식당, 제주 서귀포시 일주서로 915, 서귀포시, 4.65, 갈치구이, https://naver.me/x6PU0dkg
마농오메기통닭마농문어통닭,제주 서귀포시 중정로61번길 20 1층 마농오메기통닭마농문어통닭, 서귀포시, 별점없음, 치킨, https://naver.me/GUvDo8hB
오멍가멍흑돼지 본점,제주 제주시 서해안로 272 1층,제주시,4.64,돼지고기구이,https://naver.me/GCuqGyMg
유리네식당, 제주 제주시 연북로 146, 제주시, 별점없음, 밥상, https://naver.me/FeOCvqvQ
제주시새우리, 제주 제주시 무근성7길 24, 제주시, 4.42, 도시락, https://naver.me/GQ4YYlyg
이스턴파트, 제주 제주시 조천읍 함덕남8길 9 나동 1층, 조천읍, 4.72, 브런치, https://naver.me/xQOE7tBr
조식, 제주 제주시 애월읍 어림비로 272, 애월읍, 4.82, 브런치, https://naver.me/xGOiCbQS
짚불도, 제주 제주시 애월읍 고내로11길 30 1층, 애월읍, 별점없음,흑돼지, https://naver.me/FPuhAT0V
삼다수산식당 구좌월정리세화, 제주 제주시 구좌읍 세평항로 16, 구좌읍, 별점없음, 생선회, https://naver.me/xgG676KV
자매국수, 제주 제주시 항골남길 46 자매국수, 제주시, 4.38, 국수, https://naver.me/GkKJKe9R
옛날팥죽, 제주 서귀포시 표선면 성읍민속로 130, 4.48, 죽, https://naver.me/x4bTNE7E
